Year,HS Code,Quantity,Weight (Kgs.),Custom Value (Tshs.)
2007,850780000000,258571.0,1316554.0,2457869566.0
2008,850780000000,268487.0,822924.0,5394202828.0
2009,850780000000,427781.0,1189008.0,5881601219.0
2010,850780000000,519970.0,1107608.0,34857672006.0
2011,850780000000,371561.0,1468568.0,24960474882.0
2012,850780000000,266875.0,2484772.0,17440734942.0
2013,850780000000,1451519.0,2905748.0,14473968394.0
2014,850780000000,3317028.0,4797320.0,32232020501.0
2015,850780000000,2056164.0,7363565.0,61286218409.0
2016,850780000000,2590596.0,4472023.0,35197652096.0
2017,850780000000,1257143.0,3731622.0,31473314888.0
2018,850780000000,2054482.0,5565919.0,57638936169.0
2019,850780000000,1762311.0,5036651.0,51560312438.0
2020,850780000000,2186313.0,4957586.0,48691687419.83
2021,850780000000,2562538.0,6043358.0,52710252752.85
2022,850780000000,1269700.25,2639561.24,28166970845.87
2023,850780000000,1266334.27,2589559.97,26154366413.25
2024 Up to Oct,850780000000,374966.16,790225.16,6745582146.97
